obstime,tempr,ap,ws,wd,rh
2016-01-03 17:00:00,-1.9,960.1,63.2,301,74
2016-01-03 18:00:00,-2.1,960,60.4,303,79
2016-01-03 19:00:00,-2.4,959.9,63.2,298,79
2016-01-03 20:00:00,-2.8,959.8,62.6,298,82
2016-01-03 21:00:00,-3.5,959.5,63.3,298,86
2016-01-03 22:00:00,-3.7,959.4,63.3,298,87
2016-01-03 23:00:00,-3.8,959.4,63.3,298,86
2016-01-04 00:00:00,-3.9,959.4,61.3,298,87
2016-01-04 01:00:00,-4,959.5,61.9,298,87
2016-01-04 02:00:00,-4.3,959.5,67.7,299,89
2016-01-04 03:00:00,-4.5,959.5,55.6,309,90
2016-01-04 04:00:00,-4.4,959.7,29.3,312,89
2016-01-04 05:00:00,-4.6,960,61.9,298,88
2016-01-04 06:00:00,-4.1,960.6,61.9,298,86
2016-01-04 07:00:00,-2.9,960.9,61.9,298,78
2016-01-04 08:00:00,-2.5,961.3,62.6,298,76
2016-01-04 09:00:00,-1.5,961.8,63.9,298,67
2016-01-04 10:00:00,-2,962.2,63.9,298,58
2016-01-04 11:00:00,-0.1,962.7,63.9,298,53
2016-01-04 12:00:00,-0.2,963.2,62.6,298,50
2016-01-04 13:00:00,0.6,963.6,63.9,298,53
2016-01-04 14:00:00,-0.6,964.3,63.9,298,61
2016-01-04 15:00:00,-1.4,964.9,63.9,298,64
2016-01-04 16:00:00,-1.9,965.5,63.3,298,68
2016-01-04 17:00:00,-1.7,966,63.4,298,67
2016-01-04 18:00:00,-1.8,966.8,62.3,299,72
2016-01-04 19:00:00,-1.6,967.2,62.4,298,72
2016-01-04 20:00:00,-1.9,967.4,63.3,301,71
2016-01-04 21:00:00,-1.6,967.6,62.1,302,71
2016-01-04 22:00:00,-1.3,968.2,61.2,295,70
2016-01-04 23:00:00,-1.7,968.8,63.3,298,71
2016-01-05 00:00:00,-2.6,969.3,62.6,298,74
2016-01-05 01:00:00,-3.8,970,63.3,298,73
2016-01-05 02:00:00,-4.4,970.6,62.6,298,71
2016-01-05 03:00:00,-4.5,970.9,61.9,298,70
2016-01-05 04:00:00,-4.3,970.6,61.9,300,69
2016-01-05 05:00:00,-3.8,970.7,61.9,301,68
2016-01-05 06:00:00,-3.3,970.9,62.6,301,65
2016-01-05 07:00:00,-3.2,971.2,55.3,310,66
2016-01-05 08:00:00,-2.9,971,50.6,292,65
2016-01-05 09:00:00,-2.6,970.7,62.6,298,62
2016-01-05 10:00:00,-1.5,970.6,61.9,298,59
2016-01-05 11:00:00,-1.6,970.4,62.1,298,59
2016-01-05 12:00:00,-1.3,970,62.6,298,61
2016-01-05 13:00:00,-1,969.9,63.3,298,58
2016-01-05 14:00:00,-0.8,969.6,63.3,298,57
2016-01-05 15:00:00,-1.8,969.6,63.9,298,63
2016-01-05 16:00:00,-1.4,969.1,62.6,298,66
2016-01-05 17:00:00,-1,968.6,63.3,298,64
2016-01-05 18:00:00,-1,968.4,63.3,298,64
2016-01-05 19:00:00,-1.4,968.3,63.3,298,61
2016-01-05 20:00:00,-2.1,967.9,57.8,299,66
2016-01-05 21:00:00,-2.5,967.2,61.9,301,66
2016-01-05 22:00:00,-2.4,966.9,63.3,301,62
2016-01-05 23:00:00,-2.5,966.4,62.6,301,63
2016-01-06 00:00:00,-2.4,966,25.3,306,63
2016-01-06 01:00:00,-2.4,965.5,63.3,298,63
2016-01-06 02:00:00,-2.3,965.2,63.3,298,65
2016-01-06 03:00:00,-2.1,964.5,63.3,298,60
2016-01-06 04:00:00,-2.1,964.2,62,298,60
2016-01-06 05:00:00,-1.7,963.8,61.9,298,59
2016-01-06 06:00:00,-1.4,963.3,62.6,298,60
2016-01-06 07:00:00,-0.7,962.8,61.3,298,53
2016-01-06 08:00:00,-0.3,962.2,61.9,298,50
2016-01-06 09:00:00,1,961.6,61.3,298,55
2016-01-06 10:00:00,1.4,961,61.9,298,50
2016-01-06 11:00:00,1.3,960.4,61.9,298,59
2016-01-06 12:00:00,1.7,960,62.7,300,57
2016-01-06 13:00:00,1.7,959.6,62.6,301,50
2016-01-06 14:00:00,1.8,959.4,62.9,300,53
2016-01-06 15:00:00,1.2,959.3,61.9,301,53
2016-01-06 16:00:00,1.2,959.2,51.3,288,57
2016-01-06 17:00:00,0.6,959,61.3,298,59
2016-01-06 18:00:00,0.3,959.1,61.2,298,56
2016-01-06 19:00:00,0.1,959.2,61.9,298,64
2016-01-06 20:00:00,-0.4,959.4,63.3,298,68
2016-01-06 21:00:00,-1,959.6,63.3,298,66
2016-01-06 22:00:00,-2.4,959.8,63.3,298,61
2016-01-06 23:00:00,-3.5,960.2,63.2,298,68
2016-01-07 00:00:00,-4.7,960.6,63.9,298,75
2016-01-07 01:00:00,-4.7,961,62.6,301,74
2016-01-07 02:00:00,-4.9,961.3,63.3,298,73
2016-01-07 03:00:00,-4.9,961.3,62.6,298,76
2016-01-07 04:00:00,-4.7,961,60.8,298,71
2016-01-07 05:00:00,-4.4,961,61.3,298,64
2016-01-07 06:00:00,-3.6,961,61.3,298,55
2016-01-07 07:00:00,-2.7,961.1,62.6,298,59
2016-01-07 08:00:00,-1.8,960.9,61.3,298,60
2016-01-07 09:00:00,-0.3,960.7,61.3,298,52
2016-01-07 10:00:00,0.7,960.7,62.8,298,50
2016-01-07 11:00:00,1.2,961.1,62.5,301,51
2016-01-07 12:00:00,1.9,961.3,61.9,301,46
2016-01-07 13:00:00,2.8,961.4,62.6,301,43
2016-01-07 14:00:00,2.2,961.7,44.1,288,47
2016-01-07 15:00:00,1.4,961.9,62.6,298,55
2016-01-07 16:00:00,1,962.2,61.9,298,56
2016-01-07 17:00:00,0,962.6,61.9,298,61
2016-01-07 18:00:00,-0.4,962.9,63.6,298,62
2016-01-07 19:00:00,-0.8,963.5,63.3,298,60
2016-01-07 20:00:00,-1.5,963.6,63.3,298,65
2016-01-07 21:00:00,-1.4,963.9,63.3,298,62
2016-01-07 22:00:00,-1.7,964,63.3,298,56
2016-01-07 23:00:00,-2.6,964.5,63.9,298,61
2016-01-08 00:00:00,-3.5,964.5,62.6,298,63
2016-01-08 01:00:00,-3.8,964.5,64.5,299,60
2016-01-08 02:00:00,-3.1,964.2,63.3,301,56
2016-01-08 03:00:00,-2.1,963.8,63.3,301,56
2016-01-08 04:00:00,-1.8,963.4,55.5,312,58
2016-01-08 05:00:00,-0.3,963.1,62.6,298,56
2016-01-08 06:00:00,0.6,962.6,63.3,298,45
2016-01-08 07:00:00,1.3,962.7,62.6,298,45
2016-01-08 08:00:00,1.6,963,62.7,298,44
2016-01-08 09:00:00,2.3,963,61.9,298,44
2016-01-08 10:00:00,1.8,963,60.6,298,45
2016-01-08 11:00:00,1.7,963.1,60.8,298,46
2016-01-08 12:00:00,1.5,963.4,61.3,298,50
2016-01-08 13:00:00,1.4,963.6,61.3,298,51
2016-01-08 14:00:00,1.8,963.6,61.3,298,51
2016-01-08 15:00:00,2.2,963.1,61.3,298,45
2016-01-08 16:00:00,2.2,962.8,61.2,298,48
2016-01-08 17:00:00,2.4,962.4,62.6,299,49
2016-01-08 18:00:00,1.8,962.2,63.2,301,60
2016-01-08 19:00:00,1.9,962.2,63.3,301,58
2016-01-08 20:00:00,1.7,962.2,62.6,301,54
2016-01-08 21:00:00,1.5,962.5,25.9,306,52
2016-01-08 22:00:00,1.4,962.4,62.6,298,51
2016-01-08 23:00:00,1.1,962.6,63.3,298,49
2016-01-09 00:00:00,1.3,962.1,62.6,298,43
2016-01-09 01:00:00,1,962.2,63.3,298,40
2016-01-09 02:00:00,0.4,962.3,61.9,298,45
2016-01-09 03:00:00,1,962.3,62.6,298,39
2016-01-09 04:00:00,0,961.9,61.2,298,40
2016-01-09 05:00:00,-0.2,961.3,61.9,298,39
2016-01-09 06:00:00,-0.5,961.9,61.3,298,48
2016-01-09 07:00:00,-0.3,962.2,61.3,298,39
2016-01-09 08:00:00,0.3,962.2,61.9,298,41
2016-01-09 09:00:00,1.2,962.3,61.9,298,43
2016-01-09 10:00:00,2.8,962,75.4,299,38
2016-01-09 11:00:00,4.1,962.3,62.6,301,40
2016-01-09 12:00:00,3.8,962.6,61.9,301,45
2016-01-09 13:00:00,4,962.7,53.3,294,44
2016-01-09 14:00:00,4,963.4,61.9,298,50
2016-01-09 15:00:00,3.7,963.4,61.9,298,51
2016-01-09 16:00:00,3.3,963.4,62.6,298,52
2016-01-09 17:00:00,3.1,963.5,61.9,298,58
2016-01-09 18:00:00,2.9,964.1,63.3,298,56
2016-01-09 19:00:00,2.5,964.6,62.6,298,60
2016-01-09 20:00:00,1.6,965.1,63.9,298,64
2016-01-09 21:00:00,1.3,965.4,62.9,299,62
2016-01-09 22:00:00,0.7,965.6,63.3,298,67
2016-01-09 23:00:00,0.5,965.5,62.6,298,64
2016-01-10 00:00:00,0.5,965.7,62.6,298,64
2016-01-10 01:00:00,0.4,965.9,57.5,298,65
2016-01-10 02:00:00,0.5,966,61.7,300,66
2016-01-10 03:00:00,0.3,966.3,63.3,301,68
2016-01-10 04:00:00,0.6,966.3,57.9,304,68
2016-01-10 05:00:00,0.9,966.3,34.3,284,68
2016-01-10 06:00:00,1.4,966.6,63.3,298,69
2016-01-10 07:00:00,1.3,966.6,63.3,298,71
2016-01-10 08:00:00,1.5,966.8,63.3,298,72
2016-01-10 09:00:00,1.4,967,62.4,298,73
2016-01-10 10:00:00,1.2,967.2,61.3,298,70
2016-01-10 11:00:00,1.6,967.5,61.3,298,67
2016-01-10 12:00:00,1.7,967.7,61.2,298,69
2016-01-10 13:00:00,0.9,968.1,61.9,298,71
2016-01-10 14:00:00,0.7,968.3,61.9,298,72
2016-01-10 15:00:00,0.4,968.4,61.9,298,75
2016-01-10 16:00:00,0.4,968.6,62.5,298,74
2016-01-10 17:00:00,0.1,968.9,54.8,299,74
2016-01-10 18:00:00,0,969.4,62.6,301,75
2016-01-10 19:00:00,-0.1,969.6,62.6,301,76
2016-01-10 20:00:00,-0.2,970.3,56.6,298,77
2016-01-10 21:00:00,-0.3,970.7,61.4,297,76
2016-01-10 22:00:00,-0.5,971.2,62.6,298,77
2016-01-10 23:00:00,-0.7,971.3,62.6,298,78
2016-01-11 00:00:00,-0.9,971.4,63.1,298,76
2016-01-11 01:00:00,-0.9,971.2,63.3,298,77
2016-01-11 02:00:00,-0.6,971.1,62.6,298,76
2016-01-11 03:00:00,-0.9,970.9,63.9,298,80
2016-01-11 04:00:00,-1.2,970.5,63.3,298,88
2016-01-11 05:00:00,-0.7,970.3,63.9,298,82
2016-01-11 06:00:00,-0.6,970.1,63.6,298,81
2016-01-11 07:00:00,-0.2,970.1,63.3,298,76
2016-01-11 08:00:00,-0.1,970.1,62.4,298,75
2016-01-11 09:00:00,-0.2,969.8,63.1,299,73
2016-01-11 10:00:00,-0.6,969.2,63.3,301,73
2016-01-11 11:00:00,-0.4,968.9,63.3,301,71
2016-01-11 12:00:00,-0.5,968.1,47.3,306,72
2016-01-11 13:00:00,-0.6,967.4,26.4,307,73
2016-01-11 14:00:00,-0.5,967,62.6,298,71
2016-01-11 15:00:00,0.1,966.2,62.6,298,68
2016-01-11 16:00:00,0.3,965.2,62.2,298,66
2016-01-11 17:00:00,0.3,965.1,61.3,298,69
2016-01-11 18:00:00,-0.1,964.6,61.9,298,69
2016-01-11 19:00:00,0,964.3,61,298,66
2016-01-11 20:00:00,0,964.1,62.6,298,66
2016-01-11 21:00:00,0.1,963.8,62.6,298,65
2016-01-11 22:00:00,0.1,963,61.3,298,62
2016-01-11 23:00:00,0,962.6,61.3,298,59
2016-01-12 00:00:00,-0.3,962.3,61.7,298,59
2016-01-12 01:00:00,-0.5,961.8,61.9,301,59
2016-01-12 02:00:00,-0.8,961.9,61.9,301,55
2016-01-12 03:00:00,-1,961.7,59.2,301,50
2016-01-12 04:00:00,-0.7,962.2,61.9,298,47
2016-01-12 05:00:00,-0.3,961.9,62.6,298,45
2016-01-12 06:00:00,-0.1,961.4,61.9,298,47
2016-01-12 07:00:00,0.4,961.7,61.9,298,48
2016-01-12 08:00:00,0.5,962.1,63.3,298,48
2016-01-12 09:00:00,0.5,961.7,62.6,298,50
2016-01-12 10:00:00,1.1,962.3,62.3,298,47
2016-01-12 11:00:00,1.8,962.4,63.9,298,49
2016-01-12 12:00:00,2.3,962.5,63.3,298,52
2016-01-12 13:00:00,2.4,962.6,63.9,298,52
2016-01-12 14:00:00,2.2,962.8,62.6,298,51
2016-01-12 15:00:00,2.1,963.5,64,298,53
2016-01-12 16:00:00,2.1,963.4,63.2,301,46
2016-01-12 17:00:00,1.8,964.1,63.3,301,49
2016-01-12 18:00:00,1.5,964.8,58.5,297,52
2016-01-12 19:00:00,1.1,965,60.9,298,51
2016-01-12 20:00:00,0.8,965.4,62.6,298,51
2016-01-12 21:00:00,0.4,966,62.6,298,51
2016-01-12 22:00:00,0.4,965.9,62.8,298,47
2016-01-12 23:00:00,0.7,966.1,61.3,298,44
2016-01-13 00:00:00,0.4,966.1,61.9,298,39
2016-01-13 01:00:00,0,966.9,61.2,298,41
2016-01-13 02:00:00,0.3,966.9,61.9,298,38
2016-01-13 03:00:00,0,967.6,61.3,298,37
2016-01-13 04:00:00,0.8,967.9,61.9,298,35
2016-01-13 05:00:00,0.6,968.3,61.3,298,40
2016-01-13 06:00:00,1.5,969.1,61.2,299,38
2016-01-13 07:00:00,1.7,969.5,61.9,300,40
2016-01-13 08:00:00,2.7,969.9,61.9,300,35
2016-01-13 09:00:00,3.6,970.2,58.2,303,38
2016-01-13 10:00:00,3.9,970.7,62.1,298,37
2016-01-13 11:00:00,4.6,971.2,62.2,299,36
2016-01-13 12:00:00,4.2,971.6,61.9,299,39
2016-01-13 13:00:00,4.1,972,57.5,299,41
2016-01-13 14:00:00,4.2,972.5,43.6,299,43
2016-01-13 15:00:00,4.2,973,63.9,298,42
2016-01-13 16:00:00,4,973.5,63.2,298,47
2016-01-13 17:00:00,3.8,974,63.3,298,49
2016-01-13 18:00:00,3.1,974.4,63.3,298,49
2016-01-13 19:00:00,2.7,975,63.3,298,49
2016-01-13 20:00:00,2,975.6,63.9,298,48
2016-01-13 21:00:00,1.1,976,63.3,298,49
2016-01-13 22:00:00,0.5,976.4,63.2,300,47
2016-01-13 23:00:00,-0.2,976.6,62.6,300,44
2016-01-14 00:00:00,-0.9,976.7,62.6,300,44
2016-01-14 01:00:00,-1.8,976.7,63.4,295,45
2016-01-14 02:00:00,-2,977,62.5,300,39
2016-01-14 03:00:00,-2.2,977.4,62.6,299,38
2016-01-14 04:00:00,-2.1,977.7,62.6,299,38
2016-01-14 05:00:00,-1.9,978,44.1,313,39
2016-01-14 06:00:00,-1.1,977.9,61.9,297,41
2016-01-14 07:00:00,0.1,978,62.6,298,38
2016-01-14 08:00:00,0.7,978.1,62.6,298,40
2016-01-14 09:00:00,1.9,978.2,63.2,298,33
2016-01-14 10:00:00,2.5,978.2,63.9,298,34
2016-01-14 11:00:00,2.5,978.2,63.3,298,34
2016-01-14 12:00:00,2.1,978,62.6,298,40
2016-01-14 13:00:00,3.1,978,66,298,38
2016-01-14 14:00:00,2.4,977.8,63.2,299,39
2016-01-14 15:00:00,2,977.5,62.7,299,45
2016-01-14 16:00:00,1.4,977.5,61.2,297,44
2016-01-14 17:00:00,0.5,977.3,66.1,299,43
2016-01-14 18:00:00,0,977,63.2,300,42
2016-01-14 19:00:00,-0.3,976.5,62.6,300,44
2016-01-14 20:00:00,-0.8,976.4,58.7,299,48
2016-01-14 21:00:00,-0.8,976.3,61.3,294,47
2016-01-14 22:00:00,-1.3,976,63.3,298,57
2016-01-14 23:00:00,-1.6,975.9,63.3,298,54
2016-01-15 00:00:00,-2.8,975.5,63.3,298,60
2016-01-15 01:00:00,-2.1,975,62.3,298,46
2016-01-15 02:00:00,-2.1,974.8,61.9,298,46
2016-01-15 03:00:00,-2.1,974.4,61.3,298,47
2016-01-15 04:00:00,-1.6,973.4,61.9,298,45
2016-01-15 05:00:00,-1.2,972.8,61.3,298,45
2016-01-15 06:00:00,-1,972.3,63.1,299,43
2016-01-15 07:00:00,-0.8,972.4,61.3,299,47
2016-01-15 08:00:00,-0.4,971.7,61.9,299,48
2016-01-15 09:00:00,0.4,971.3,61.1,300,47
2016-01-15 10:00:00,1.3,971.4,67,299,39
2016-01-15 11:00:00,1.8,971.2,62.6,300,35
2016-01-15 12:00:00,2.2,970.3,62.6,300,30
2016-01-15 13:00:00,3,969.4,40.6,306,38
2016-01-15 14:00:00,2.6,968.8,62.6,300,43
2016-01-15 15:00:00,1.4,968.1,62.6,298,38
2016-01-15 16:00:00,1.3,967.7,61.9,298,44
2016-01-15 17:00:00,0.6,967.2,61.9,298,51
2016-01-15 18:00:00,0.2,967.2,63.9,298,50
2016-01-15 19:00:00,-0.2,967,63.3,298,53
2016-01-15 20:00:00,-0.5,966.9,63.3,298,52
2016-01-15 21:00:00,-0.3,966.8,63.9,298,48
2016-01-15 22:00:00,-1,966.8,63.2,298,55
2016-01-15 23:00:00,-1,967,61.9,298,53
2016-01-16 00:00:00,-0.9,966.9,63.3,298,50
2016-01-16 01:00:00,-1.1,967.2,63.3,298,52
2016-01-16 02:00:00,-1.2,967.6,67.7,299,51
2016-01-16 03:00:00,-1.5,967.6,63.1,301,54
2016-01-16 04:00:00,-1.3,967.4,62.6,301,51
2016-01-16 05:00:00,-1,967.5,62.6,301,50
2016-01-16 06:00:00,-0.6,967.9,24.4,312,49
2016-01-16 07:00:00,-0.6,968.2,63.3,298,45
2016-01-16 08:00:00,0.4,968.4,62.6,298,40
2016-01-16 09:00:00,0.6,968.7,63.3,298,37
2016-01-16 10:00:00,1,969,63.3,298,36
2016-01-16 11:00:00,1.5,969.3,61.3,298,37
2016-01-16 12:00:00,0.5,969.5,61.3,298,36
2016-01-16 13:00:00,0.9,969.5,61.3,298,38
2016-01-16 14:00:00,1.4,969.6,61.3,298,36
2016-01-16 15:00:00,0.8,969.4,61.3,298,42
2016-01-16 16:00:00,1,969.4,62.6,298,37
2016-01-16 17:00:00,0.5,969.3,61.9,298,42
2016-01-16 18:00:00,0.1,969.2,61.3,298,45
2016-01-16 19:00:00,-0.2,969.3,58.5,299,43
2016-01-16 20:00:00,-0.2,969.5,65.1,299,41
2016-01-16 21:00:00,-0.7,970,61.6,301,41
2016-01-16 22:00:00,-1,970.3,57.6,299,44
2016-01-16 23:00:00,-1.7,970.4,60.8,297,47
2016-01-17 00:00:00,-1.9,970.2,61.9,298,47
2016-01-17 01:00:00,-2.1,970.1,61.9,298,45
2016-01-17 02:00:00,-2.3,969.9,61.9,298,45
2016-01-17 03:00:00,-2.1,969.5,63.9,298,44
2016-01-17 04:00:00,-2.1,969.4,63.9,298,48
2016-01-17 05:00:00,-1.4,969.1,63.3,298,41
2016-01-17 06:00:00,-1,968.7,63.2,299,36
2016-01-17 07:00:00,-0.6,968.3,62.6,298,33
2016-01-17 08:00:00,-0.7,968,63.9,298,40
2016-01-17 09:00:00,-0.2,967.4,63.9,298,40
2016-01-17 10:00:00,-0.4,967,63.3,298,40
2016-01-17 11:00:00,-1.1,966.6,63.3,298,45
2016-01-17 12:00:00,-1,965.3,57.5,299,48
2016-01-17 13:00:00,-0.9,964.5,62.6,301,50
2016-01-17 14:00:00,-0.9,963.7,62.6,301,52
2016-01-17 15:00:00,-1.2,962.9,47.3,295,56
2016-01-17 16:00:00,-1.8,962.1,41,284,53
2016-01-17 17:00:00,-2.2,961.9,63.3,298,57
2016-01-17 18:00:00,-2.4,961.2,63.3,298,59
2016-01-17 19:00:00,-3,960.2,62.6,298,60
2016-01-17 20:00:00,-3.3,960.2,62.6,298,62
2016-01-17 21:00:00,-3.6,960.1,61.3,298,64
2016-01-17 22:00:00,-3.7,959.7,61.9,298,67
2016-01-17 23:00:00,-3.4,958.7,61.9,298,63
2016-01-18 00:00:00,-3.5,958.6,61.9,298,63
2016-01-18 01:00:00,-3.7,958.1,62.6,298,66
2016-01-18 02:00:00,-3.3,956.5,62.6,298,60
2016-01-18 03:00:00,-2.9,956.3,61.2,299,58
2016-01-18 04:00:00,-2.8,956.7,57.1,300,56
2016-01-18 05:00:00,-2.3,956.4,62.6,301,52
2016-01-18 06:00:00,-2.3,957.1,62.4,302,56
2016-01-18 07:00:00,-1.6,956.7,39.9,307,51
2016-01-18 08:00:00,-1.4,956.8,61.9,298,52
2016-01-18 09:00:00,-1.1,956.9,62.6,298,52
2016-01-18 10:00:00,-0.3,956.9,61.9,298,48
2016-01-18 11:00:00,-0.3,956.8,63.3,298,54
2016-01-18 12:00:00,-0.7,956.8,62.6,298,59
2016-01-18 13:00:00,-0.3,957.6,63.3,298,56
2016-01-18 14:00:00,-0.1,958.2,62.6,298,55
2016-01-18 15:00:00,0.1,958.3,63.9,298,55
2016-01-18 16:00:00,0,958.7,63.9,298,55
2016-01-18 17:00:00,-0.3,959.5,63.8,298,57
2016-01-18 18:00:00,-0.2,960,66.5,298,55
2016-01-18 19:00:00,-0.5,960.5,63.7,300,58
2016-01-18 20:00:00,0.2,960.9,62.6,301,48
2016-01-18 21:00:00,0.2,961.3,45.8,305,48
2016-01-18 22:00:00,0.2,961.1,42,281,43
2016-01-18 23:00:00,0.2,961.5,63.3,298,43
2016-01-19 00:00:00,0.2,962.1,63.3,298,41
2016-01-19 01:00:00,0,962.8,63.3,298,42
2016-01-19 02:00:00,-0.3,963.3,60.9,298,43
2016-01-19 03:00:00,-0.6,963.8,61.3,298,40
2016-01-19 04:00:00,-0.6,964.1,61.3,298,37
2016-01-19 05:00:00,-0.3,964.6,61.9,298,36
2016-01-19 06:00:00,0,965.1,61.3,298,32
2016-01-19 07:00:00,0.6,965.1,61.9,298,34
2016-01-19 08:00:00,1.6,965,61.3,298,35
2016-01-19 09:00:00,1.9,965.2,57.4,299,33
2016-01-19 10:00:00,2,965.3,62.6,301,29
2016-01-19 11:00:00,2.4,965.2,61.9,301,30
2016-01-19 12:00:00,2.8,965.4,56.1,297,33
2016-01-19 13:00:00,2.3,965.3,61.6,299,34
2016-01-19 14:00:00,2,965.1,62.6,298,38
2016-01-19 15:00:00,1.8,964.5,62.6,298,39
2016-01-19 16:00:00,1.8,964.3,62.8,298,36
2016-01-19 17:00:00,1.6,964.3,63.9,298,38
2016-01-19 18:00:00,1,964.5,63.2,298,50
2016-01-19 19:00:00,0.6,964.9,63.2,298,46
2016-01-19 20:00:00,-0.3,964.7,63.9,298,48
2016-01-19 21:00:00,-0.3,964.8,63.3,298,43
2016-01-19 22:00:00,-0.7,964.8,63.3,298,43
2016-01-19 23:00:00,-0.9,965.1,63.3,298,43
2016-01-20 00:00:00,-1,965.1,59.5,298,42
2016-01-20 01:00:00,-0.7,965.3,63.1,300,39
2016-01-20 02:00:00,-0.8,965.4,63.3,301,42
2016-01-20 03:00:00,-1.4,964.9,63.3,301,38
2016-01-20 04:00:00,-1.8,965.1,16.7,273,40
2016-01-20 05:00:00,-1.5,965.1,62.6,298,43
2016-01-20 06:00:00,-0.2,965.7,62.7,299,38
2016-01-20 07:00:00,0.5,966.4,62.6,298,38
2016-01-20 08:00:00,0.7,966.8,61.3,298,35
2016-01-20 09:00:00,1,967.3,61.9,298,37
2016-01-20 10:00:00,1.5,967.8,61.9,298,40
2016-01-20 11:00:00,2.2,968.1,61.2,298,41
2016-01-20 12:00:00,1.5,968.5,61.9,298,43
2016-01-20 13:00:00,1.4,968.9,61.9,298,47
2016-01-20 14:00:00,1.2,969.1,61.9,298,47
2016-01-20 15:00:00,1.1,969.1,62,298,49
2016-01-20 16:00:00,1.2,969,61,299,49
2016-01-20 17:00:00,1,969.3,62.3,301,53
2016-01-20 18:00:00,1.2,969.4,62.6,301,52
2016-01-20 19:00:00,0.8,969.6,44.5,295,57
2016-01-20 20:00:00,0.6,969.8,60.8,294,57
2016-01-20 21:00:00,0.1,970.2,62.6,298,58
2016-01-20 22:00:00,-0.4,970.3,61.9,298,61
2016-01-20 23:00:00,-0.6,970.3,62.7,298,65
